date,channel,campaign,clicks,spend,conversions,revenue
2025-07-01,Paid Search,Search - Brand,752,1770.2757073703726,39,2975.840357509735
2025-07-01,Paid Search,Search - Generic,558,1060.1377136876292,29,2293.063404388167
2025-07-01,Paid Search,Search - Competitor,585,1339.1316030301753,20,1852.1533616869988
2025-07-01,Paid Social,Social - Prospecting,712,651.4369500095086,17,1062.4690384444705
2025-07-01,Paid Social,Social - Retargeting,848,830.9566140023064,22,1571.8531425087006
2025-07-01,Paid Social,Social - Lookalike,761,898.4759557595582,12,784.7597719614623
2025-07-01,Email,Email - Newsletter,145,25.42485818811321,8,776.5585758428215
2025-07-01,Email,Email - Promo,207,27.57316147533404,13,1293.3165009599002
2025-07-01,Email,Email - Winback,197,32.790513910071084,20,1717.8574229455285
2025-07-01,Organic,Organic - Content,350,39.21958027598213,10,811.4448892603183
2025-07-01,Organic,Organic - SEO,321,24.097901433032273,11,864.2665566073616
2025-07-01,Organic,Organic - Referral,573,62.919997279761155,23,1553.4938613201855
2025-07-01,Display,Display - Awareness,538,420.0726505970321,9,596.4409426957055
2025-07-01,Display,Display - Retargeting,360,319.5164873987212,3,169.67161749408308
2025-07-01,Display,Display - Programmatic,600,536.172811751402,5,284.19835527051987
2025-07-02,Paid Search,Search - Brand,576,985.1892244428313,25,2219.0637311256205
2025-07-02,Paid Search,Search - Generic,609,1134.3226578452638,35,3020.605060855304
2025-07-02,Paid Search,Search - Competitor,729,1593.196765383886,25,1912.5862895574476
2025-07-02,Paid Social,Social - Prospecting,911,1211.9446041616407,14,828.978391194809
2025-07-02,Paid Social,Social - Retargeting,736,820.0823894806314,17,1190.629518940067
2025-07-02,Paid Social,Social - Lookalike,839,1137.9433113980745,12,806.9757461757384
2025-07-02,Email,Email - Newsletter,238,27.765666130562103,16,1669.774656918233
2025-07-02,Email,Email - Promo,242,29.629402897023986,16,1369.3028179461912
2025-07-02,Email,Email - Winback,181,30.98127430422029,9,863.3733924680522
2025-07-02,Organic,Organic - Content,459,54.54528634766854,13,996.2133477301429
2025-07-02,Organic,Organic - SEO,478,53.03964818644685,14,1146.0438322475995
2025-07-02,Organic,Organic - Referral,537,44.6976422882165,12,1022.4501336841573
2025-07-02,Display,Display - Awareness,577,401.09855962844034,4,208.58080457029573
2025-07-02,Display,Display - Retargeting,617,535.0464023352615,7,431.3835776425982
2025-07-02,Display,Display - Programmatic,497,545.8539206331022,4,204.7617532995609
2025-07-03,Paid Search,Search - Brand,737,1656.6942537141863,50,3633.3778868165746
2025-07-03,Paid Search,Search - Generic,578,1323.7227577496717,23,1643.4639950501278
2025-07-03,Paid Search,Search - Competitor,502,801.8617054514583,20,1549.9855899126082
2025-07-03,Paid Social,Social - Prospecting,543,728.8432898021363,5,325.16012384065175
2025-07-03,Paid Social,Social - Retargeting,610,885.2475690820702,10,653.3751267947183
2025-07-03,Paid Social,Social - Lookalike,692,719.4050389063954,10,680.3686057881583
2025-07-03,Email,Email - Newsletter,213,34.34830004984241,16,1320.11939055746
2025-07-03,Email,Email - Promo,243,40.91191145285098,21,1867.8665953587602
2025-07-03,Email,Email - Winback,259,41.889046816012346,26,2807.439137799271
2025-07-03,Organic,Organic - Content,596,57.35384087731011,12,1073.2085211449923
2025-07-03,Organic,Organic - SEO,557,62.97121012657396,15,1080.984169144288
2025-07-03,Organic,Organic - Referral,606,63.51028833979207,22,1696.5796550088985
2025-07-03,Display,Display - Awareness,412,405.08120847094506,5,276.78203467177195
2025-07-03,Display,Display - Retargeting,470,483.36648261533537,9,553.0742700391255
2025-07-03,Display,Display - Programmatic,488,467.49576811299653,7,410.0779672835084
2025-07-04,Paid Search,Search - Brand,433,984.0880130419397,22,1883.1527240336861
2025-07-04,Paid Search,Search - Generic,697,1352.5285519790152,36,2559.9037525590284
2025-07-04,Paid Search,Search - Competitor,527,1029.9960693908035,12,1058.8386667211012
2025-07-04,Paid Social,Social - Prospecting,855,1076.408009744349,21,1263.3718992810263
2025-07-04,Paid Social,Social - Retargeting,766,713.5757608892112,17,1107.9560892683764
2025-07-04,Paid Social,Social - Lookalike,709,1016.2757491145001,12,708.1735938001718
